Statistic Label,Date,Year,MonthName,VALUE,Missing
Trade Price Index for Imports,2015-01-01,2015,January,100.5,False
Trade Price Index for Imports,2015-02-01,2015,February,97.8,False
Trade Price Index for Imports,2015-03-01,2015,March,101.4,False
Trade Price Index for Imports,2015-04-01,2015,April,105.4,False
Trade Price Index for Imports,2015-05-01,2015,May,106.8,False
Trade Price Index for Imports,2015-06-01,2015,June,98.5,False
Trade Price Index for Imports,2015-07-01,2015,July,102.7,False
Trade Price Index for Imports,2015-08-01,2015,August,104.8,False
Trade Price Index for Imports,2015-09-01,2015,September,98.7,False
Trade Price Index for Imports,2015-10-01,2015,October,94.8,False
Trade Price Index for Imports,2015-11-01,2015,November,96.6,False
Trade Price Index for Imports,2015-12-01,2015,December,94.9,False
Trade Price Index for Imports,2016-01-01,2016,January,87.0,False
Trade Price Index for Imports,2016-02-01,2016,February,91.6,False
Trade Price Index for Imports,2016-03-01,2016,March,89.7,False
Trade Price Index for Imports,2016-04-01,2016,April,93.4,False
Trade Price Index for Imports,2016-05-01,2016,May,94.2,False
Trade Price Index for Imports,2016-06-01,2016,June,96.7,False
Trade Price Index for Imports,2016-07-01,2016,July,96.2,False
Trade Price Index for Imports,2016-08-01,2016,August,93.1,False
Trade Price Index for Imports,2016-09-01,2016,September,93.4,False
Trade Price Index for Imports,2016-10-01,2016,October,95.9,False
Trade Price Index for Imports,2016-11-01,2016,November,94.4,False
Trade Price Index for Imports,2016-12-01,2016,December,93.7,False
Trade Price Index for Imports,2017-01-01,2017,January,98.9,False
Trade Price Index for Imports,2017-02-01,2017,February,98.3,False
Trade Price Index for Imports,2017-03-01,2017,March,98.1,False
Trade Price Index for Imports,2017-04-01,2017,April,98.0,False
Trade Price Index for Imports,2017-05-01,2017,May,94.7,False
Trade Price Index for Imports,2017-06-01,2017,June,94.0,False
Trade Price Index for Imports,2017-07-01,2017,July,95.1,False
Trade Price Index for Imports,2017-08-01,2017,August,93.6,False
Trade Price Index for Imports,2017-09-01,2017,September,96.1,False
Trade Price Index for Imports,2017-10-01,2017,October,92.5,False
Trade Price Index for Imports,2017-11-01,2017,November,96.0,False
Trade Price Index for Imports,2017-12-01,2017,December,97.7,False
Trade Price Index for Imports,2018-01-01,2018,January,95.4,False
Trade Price Index for Imports,2018-02-01,2018,February,96.7,False
Trade Price Index for Imports,2018-03-01,2018,March,95.5,False
Trade Price Index for Imports,2018-04-01,2018,April,101.1,False
Trade Price Index for Imports,2018-05-01,2018,May,93.7,False
Trade Price Index for Imports,2018-06-01,2018,June,98.1,False
Trade Price Index for Imports,2018-07-01,2018,July,105.8,False
Trade Price Index for Imports,2018-08-01,2018,August,100.9,False
Trade Price Index for Imports,2018-09-01,2018,September,105.2,False
Trade Price Index for Imports,2018-10-01,2018,October,100.8,False
Trade Price Index for Imports,2018-11-01,2018,November,99.6,False
Trade Price Index for Imports,2018-12-01,2018,December,100.6,False
Trade Price Index for Imports,2019-01-01,2019,January,96.3,False
Trade Price Index for Imports,2019-02-01,2019,February,96.6,False
Trade Price Index for Imports,2019-03-01,2019,March,95.4,False
Trade Price Index for Imports,2019-04-01,2019,April,94.8,False
Trade Price Index for Imports,2019-05-01,2019,May,95.8,False
Trade Price Index for Imports,2019-06-01,2019,June,96.6,False
Trade Price Index for Imports,2019-07-01,2019,July,96.2,False
Trade Price Index for Imports,2019-08-01,2019,August,96.0,False
Trade Price Index for Imports,2019-09-01,2019,September,96.6,False
Trade Price Index for Imports,2019-10-01,2019,October,97.0,False
Trade Price Index for Imports,2019-11-01,2019,November,97.5,False
Trade Price Index for Imports,2019-12-01,2019,December,96.9,False
Trade Price Index for Imports,2020-01-01,2020,January,94.5,False
Trade Price Index for Imports,2020-02-01,2020,February,91.1,False
Trade Price Index for Imports,2020-03-01,2020,March,93.5,False
Trade Price Index for Imports,2020-04-01,2020,April,93.0,False
Trade Price Index for Imports,2020-05-01,2020,May,92.6,False
Trade Price Index for Imports,2020-06-01,2020,June,94.8,False
Trade Price Index for Imports,2020-07-01,2020,July,93.2,False
Trade Price Index for Imports,2020-08-01,2020,August,89.9,False
Trade Price Index for Imports,2020-09-01,2020,September,94.1,False
Trade Price Index for Imports,2020-10-01,2020,October,89.2,False
Trade Price Index for Imports,2020-11-01,2020,November,87.7,False
Trade Price Index for Imports,2020-12-01,2020,December,87.0,False
Trade Price Index for Imports,2021-01-01,2021,January,92.694,False
Trade Price Index for Imports,2021-02-01,2021,February,94.303,False
Trade Price Index for Imports,2021-03-01,2021,March,100.191,False
Trade Price Index for Imports,2021-04-01,2021,April,98.537,False
Trade Price Index for Imports,2021-05-01,2021,May,94.175,False
Trade Price Index for Imports,2021-06-01,2021,June,100.133,False
Trade Price Index for Imports,2021-07-01,2021,July,97.492,False
Trade Price Index for Imports,2021-08-01,2021,August,98.033,False
Trade Price Index for Imports,2021-09-01,2021,September,102.282,False
Trade Price Index for Imports,2021-10-01,2021,October,100.478,False
Trade Price Index for Imports,2021-11-01,2021,November,102.716,False
Trade Price Index for Imports,2021-12-01,2021,December,101.619,False
Trade Price Index for Imports,2022-01-01,2022,January,98.95,False
Trade Price Index for Imports,2022-02-01,2022,February,95.531,False
Trade Price Index for Imports,2022-03-01,2022,March,104.107,False
Trade Price Index for Imports,2022-04-01,2022,April,104.647,False
Trade Price Index for Imports,2022-05-01,2022,May,105.783,False
Trade Price Index for Imports,2022-06-01,2022,June,104.441,False
Trade Price Index for Imports,2022-07-01,2022,July,107.568,False
Trade Price Index for Imports,2022-08-01,2022,August,109.113,False
Trade Price Index for Imports,2022-09-01,2022,September,110.839,False
Trade Price Index for Imports,2022-10-01,2022,October,104.971,False
Trade Price Index for Imports,2022-11-01,2022,November,109.519,False
Trade Price Index for Imports,2022-12-01,2022,December,108.857,False
Trade Price Index for Imports,2023-01-01,2023,January,108.027,False
Trade Price Index for Imports,2023-02-01,2023,February,106.963,False
Trade Price Index for Imports,2023-03-01,2023,March,106.259,False
Trade Price Index for Imports,2023-04-01,2023,April,105.179,False
Trade Price Index for Imports,2023-05-01,2023,May,103.794,False
Trade Price Index for Imports,2023-06-01,2023,June,104.994,False
Trade Price Index for Imports,2023-07-01,2023,July,107.328,False
Trade Price Index for Imports,2023-08-01,2023,August,103.638,False
Trade Price Index for Imports,2023-09-01,2023,September,107.166,False
Trade Price Index for Imports,2023-10-01,2023,October,106.083,False
Trade Price Index for Imports,2023-11-01,2023,November,110.519,False
Trade Price Index for Imports,2023-12-01,2023,December,105.919,False
Trade Price Index for Imports,2024-01-01,2024,January,103.538,False
Trade Price Index for Imports,2024-02-01,2024,February,103.835,False
Trade Price Index for Imports,2024-03-01,2024,March,104.04,False
Trade Price Index for Imports,2024-04-01,2024,April,104.405,False
Trade Price Index for Imports,2024-05-01,2024,May,103.838,False
Trade Price Index for Imports,2024-06-01,2024,June,103.32,False
Trade Price Index for Imports,2024-07-01,2024,July,103.456,False
Trade Price Index for Imports,2024-08-01,2024,August,104.322,False
Trade Price Index for Imports,2024-09-01,2024,September,103.853,False
Trade Price Index for Imports,2024-10-01,2024,October,104.605,False
Trade Price Index for Imports,2024-11-01,2024,November,105.189,False
Trade Price Index for Imports,2024-12-01,2024,December,106.246,False
Trade Price Index for Exports,2015-01-01,2015,January,102.9,False
Trade Price Index for Exports,2015-02-01,2015,February,103.0,False
Trade Price Index for Exports,2015-03-01,2015,March,106.2,False
Trade Price Index for Exports,2015-04-01,2015,April,110.3,False
Trade Price Index for Exports,2015-05-01,2015,May,110.6,False
Trade Price Index for Exports,2015-06-01,2015,June,109.4,False
Trade Price Index for Exports,2015-07-01,2015,July,107.9,False
Trade Price Index for Exports,2015-08-01,2015,August,101.6,False
Trade Price Index for Exports,2015-09-01,2015,September,107.1,False
Trade Price Index for Exports,2015-10-01,2015,October,110.9,False
Trade Price Index for Exports,2015-11-01,2015,November,104.8,False
Trade Price Index for Exports,2015-12-01,2015,December,106.6,False
Trade Price Index for Exports,2016-01-01,2016,January,95.6,False
Trade Price Index for Exports,2016-02-01,2016,February,106.0,False
Trade Price Index for Exports,2016-03-01,2016,March,100.6,False
Trade Price Index for Exports,2016-04-01,2016,April,104.1,False
Trade Price Index for Exports,2016-05-01,2016,May,99.0,False
Trade Price Index for Exports,2016-06-01,2016,June,102.8,False
Trade Price Index for Exports,2016-07-01,2016,July,101.9,False
Trade Price Index for Exports,2016-08-01,2016,August,103.4,False
Trade Price Index for Exports,2016-09-01,2016,September,105.6,False
Trade Price Index for Exports,2016-10-01,2016,October,103.1,False
Trade Price Index for Exports,2016-11-01,2016,November,104.1,False
Trade Price Index for Exports,2016-12-01,2016,December,106.6,False
Trade Price Index for Exports,2017-01-01,2017,January,106.4,False
Trade Price Index for Exports,2017-02-01,2017,February,99.6,False
Trade Price Index for Exports,2017-03-01,2017,March,103.9,False
Trade Price Index for Exports,2017-04-01,2017,April,106.2,False
Trade Price Index for Exports,2017-05-01,2017,May,100.0,False
Trade Price Index for Exports,2017-06-01,2017,June,99.6,False
