Statistic Label,Year,Commodity Group,Country,VALUE,Missing,Commodity Code,Commodity Category,ISO3
Value of Imports,2015,Dairy products and birds eggs (02),Netherlands,44185.0,False,2,Food and Beverages,NLD
Value of Imports,2015,Dairy products and birds eggs (02),Norway,6.0,False,2,Food and Beverages,NOR
Value of Imports,2015,Dairy products and birds eggs (02),Poland,7634.0,False,2,Food and Beverages,POL
Value of Imports,2015,Dairy products and birds eggs (02),Portugal,48.0,False,2,Food and Beverages,PRT
Value of Imports,2015,Dairy products and birds eggs (02),Romania,19.0,False,2,Food and Beverages,ROU
Value of Imports,2015,Dairy products and birds eggs (02),Russia,,True,2,Food and Beverages,RUS
Value of Imports,2015,Dairy products and birds eggs (02),Saudi Arabia,0.0,False,2,Food and Beverages,SAU
Value of Imports,2015,Dairy products and birds eggs (02),Sweden,28.0,False,2,Food and Beverages,SWE
Value of Imports,2015,Dairy products and birds eggs (02),Singapore,0.0,False,2,Food and Beverages,SGP
Value of Imports,2015,Dairy products and birds eggs (02),Slovenia,74.0,False,2,Food and Beverages,SVN
Value of Imports,2015,Dairy products and birds eggs (02),Slovakia,81.0,False,2,Food and Beverages,SVK
Value of Imports,2015,Dairy products and birds eggs (02),Thailand,,True,2,Food and Beverages,THA
Value of Imports,2015,Dairy products and birds eggs (02),Turkey,,True,2,Food and Beverages,TUR
Value of Imports,2015,Dairy products and birds eggs (02),Taiwan,878.0,False,2,Food and Beverages,TWN
Value of Imports,2015,Dairy products and birds eggs (02),USA,171.0,False,2,Food and Beverages,USA
Value of Imports,2015,Dairy products and birds eggs (02),Great Britain,285724.0,False,2,Food and Beverages,GBR
Value of Imports,2015,Dairy products and birds eggs (02),Northern Ireland,175293.0,False,2,Food and Beverages,GBR
Value of Imports,2015,Dairy products and birds eggs (02),South Africa,0.0,False,2,Food and Beverages,ZAF
Value of Imports,2015,Dairy products and birds eggs (02),EU country not specified,7097.0,False,2,Food and Beverages,EUU
Value of Imports,2015,Dairy products and birds eggs (02),Other countries,1347.0,False,2,Food and Beverages,OTH
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Austria,7.0,False,3,Food and Beverages,AUT
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Australia,,True,3,Food and Beverages,AUS
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Belgium,1732.0,False,3,Food and Beverages,BEL
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Bulgaria,365.0,False,3,Food and Beverages,BGR
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Brazil,,True,3,Food and Beverages,BRA
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Canada,838.0,False,3,Food and Beverages,CAN
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Switzerland,0.0,False,3,Food and Beverages,CHE
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",China,1074.0,False,3,Food and Beverages,CHN
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Cyprus,,True,3,Food and Beverages,CYP
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Czech Republic,3.0,False,3,Food and Beverages,CZE
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Germany,16519.0,False,3,Food and Beverages,DEU
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Denmark,16264.0,False,3,Food and Beverages,DNK
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Estonia,76.0,False,3,Food and Beverages,EST
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Spain,3391.0,False,3,Food and Beverages,ESP
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Finland,,True,3,Food and Beverages,FIN
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",France,18053.0,False,3,Food and Beverages,FRA
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Greece,171.0,False,3,Food and Beverages,GRC
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Croatia,,True,3,Food and Beverages,HRV
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Hungary,2.0,False,3,Food and Beverages,HUN
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",India,4015.0,False,3,Food and Beverages,IND
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Italy,869.0,False,3,Food and Beverages,ITA
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Japan,16.0,False,3,Food and Beverages,JPN
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",South Korea,73.0,False,3,Food and Beverages,KOR
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Lithuania,240.0,False,3,Food and Beverages,LTU
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Luxembourg,,True,3,Food and Beverages,LUX
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Latvia,27.0,False,3,Food and Beverages,LVA
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Malta,,True,3,Food and Beverages,MLT
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Mexico,,True,3,Food and Beverages,MEX
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Malaysia,5.0,False,3,Food and Beverages,MYS
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Netherlands,4696.0,False,3,Food and Beverages,NLD
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Norway,5664.0,False,3,Food and Beverages,NOR
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Poland,1470.0,False,3,Food and Beverages,POL
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Portugal,716.0,False,3,Food and Beverages,PRT
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Romania,15.0,False,3,Food and Beverages,ROU
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Russia,,True,3,Food and Beverages,RUS
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Saudi Arabia,381.0,False,3,Food and Beverages,SAU
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Sweden,610.0,False,3,Food and Beverages,SWE
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Singapore,25.0,False,3,Food and Beverages,SGP
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Slovenia,,True,3,Food and Beverages,SVN
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Slovakia,29.0,False,3,Food and Beverages,SVK
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Thailand,3262.0,False,3,Food and Beverages,THA
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Turkey,9.0,False,3,Food and Beverages,TUR
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Taiwan,,True,3,Food and Beverages,TWN
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",USA,496.0,False,3,Food and Beverages,USA
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Great Britain,149557.0,False,3,Food and Beverages,GBR
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Northern Ireland,15344.0,False,3,Food and Beverages,GBR
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",South Africa,834.0,False,3,Food and Beverages,ZAF
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",EU country not specified,1088.0,False,3,Food and Beverages,EUU
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Other countries,17463.0,False,3,Food and Beverages,OTH
Value of Imports,2015,Cereals and cereal preparations (04),Austria,1118.0,False,4,Food and Beverages,AUT
